img_path,table_mask,original_height,original_width,hasTable,table_count,table_bboxes
./resized_binary/generator/Document Numbering_GM004-DM-SPE-000-00002_B07(36).png,data/generator_masked/binary/masks_generator/table/Document Numbering_GM004-DM-SPE-000-00002_B07(36).png,1024,1024,1,1,"[[104, 90, 920, 947]]"
./resized_binary/generator/Document Numbering_GM004-DM-SPE-000-00002_B07(37).png,data/generator_masked/binary/masks_generator/table/Document Numbering_GM004-DM-SPE-000-00002_B07(37).png,1024,1024,1,1,"[[99, 88, 921, 946]]"
./resized_binary/generator/Document Numbering_GM004-DM-SPE-000-00002_B07(38).png,data/generator_masked/binary/masks_generator/table/Document Numbering_GM004-DM-SPE-000-00002_B07(38).png,1024,1024,1,1,"[[93, 81, 921, 628]]"
./resized_binary/generator/Document Numbering_GM004-DM-SPE-000-00002_B07(39).png,data/generator_masked/binary/masks_generator/table/Document Numbering_GM004-DM-SPE-000-00002_B07(39).png,1024,1024,1,1,"[[98, 140, 910, 558]]"
./resized_binary/generator/Document Numbering_GM004-DM-SPE-000-00002_B07(4).png,data/generator_masked/binary/masks_generator/table/Document Numbering_GM004-DM-SPE-000-00002_B07(4).png,1024,1024,1,1,"[[103, 109, 919, 862]]"
./resized_binary/generator/Document Numbering_GM004-DM-SPE-000-00002_B07(40).png,data/generator_masked/binary/masks_generator/table/Document Numbering_GM004-DM-SPE-000-00002_B07(40).png,1024,1024,1,1,"[[102, 162, 846, 428], [102, 470, 841, 673]]"
./resized_binary/generator/Document Numbering_GM004-DM-SPE-000-00002_B07(41).png,data/generator_masked/binary/masks_generator/table/Document Numbering_GM004-DM-SPE-000-00002_B07(41).png,1024,1024,1,1,"[[102, 169, 909, 905]]"
./resized_binary/generator/Document Numbering_GM004-DM-SPE-000-00002_B07(5).png,data/generator_masked/binary/masks_generator/table/Document Numbering_GM004-DM-SPE-000-00002_B07(5).png,1024,1024,1,1,"[[94, 115, 892, 216], [102, 251, 901, 362], [94, 394, 897, 718], [105, 774, 897, 947]]"
./resized_binary/generator/Document Numbering_GM004-DM-SPE-000-00002_B07(6).png,data/generator_masked/binary/masks_generator/table/Document Numbering_GM004-DM-SPE-000-00002_B07(6).png,1024,1024,1,1,"[[94, 89, 892, 199], [99, 251, 895, 343]]"
./resized_binary/generator/Document Numbering_GM004-DM-SPE-000-00002_B07(8).png,data/generator_masked/binary/masks_generator/table/Document Numbering_GM004-DM-SPE-000-00002_B07(8).png,1024,1024,1,1,"[[98, 106, 843, 404], [104, 462, 850, 931]]"
./resized_binary/generator/Document Numbering_GM004-DM-SPE-000-00002_B07(9).png,data/generator_masked/binary/masks_generator/table/Document Numbering_GM004-DM-SPE-000-00002_B07(9).png,1024,1024,1,1,"[[105, 91, 856, 152]]"
./resized_binary/generator/GM004-241MC005-B01-10001-001_Z01_20190426(0).png,data/generator_masked/binary/masks_generator/table/GM004-241MC005-B01-10001-001_Z01_20190426(0).png,1024,1024,1,1,"[[846, 637, 993, 864], [118, 858, 602, 978], [780, 860, 995, 980]]"
./resized_binary/generator/GM004-241MC005-B01-20001-001_Z01_20190416(0).png,data/generator_masked/binary/masks_generator/table/GM004-241MC005-B01-20001-001_Z01_20190416(0).png,1024,1024,1,1,"[[836, 621, 993, 871], [117, 856, 601, 975], [780, 860, 1000, 982]]"
./resized_binary/generator/GM004-241MC005-B01-30001-001_Z01_20190506(0).png,data/generator_masked/binary/masks_generator/table/GM004-241MC005-B01-30001-001_Z01_20190506(0).png,1024,1024,1,1,"[[846, 633, 990, 861], [115, 856, 602, 978], [780, 858, 995, 983]]"
./resized_binary/generator/GM004-241MC005-B01-40001-001_Z01_20190604(0).png,data/generator_masked/binary/masks_generator/table/GM004-241MC005-B01-40001-001_Z01_20190604(0).png,1024,1024,1,1,"[[846, 637, 995, 863], [117, 856, 600, 977], [780, 856, 994, 972]]"
./resized_binary/generator/GM004-241MC005-B01-50001-001_Z01_20190506(0).png,data/generator_masked/binary/masks_generator/table/GM004-241MC005-B01-50001-001_Z01_20190506(0).png,1024,1024,1,1,"[[834, 624, 990, 860], [116, 851, 605, 979], [781, 858, 993, 974]]"
./resized_binary/generator/GM004-241MC005-D06-10001-001_Z01_20190117(0).png,data/generator_masked/binary/masks_generator/table/GM004-241MC005-D06-10001-001_Z01_20190117(0).png,1024,1024,1,1,"[[699, 697, 827, 895], [584, 802, 685, 908], [581, 906, 830, 987], [830, 24, 1006, 846], [831, 886, 1008, 1001]]"
./resized_binary/generator/GM004-241MC005-D06-20001-001_Z01_20210302(0).png,data/generator_masked/binary/masks_generator/table/GM004-241MC005-D06-20001-001_Z01_20210302(0).png,1024,1024,1,1,"[[702, 714, 826, 906], [266, 887, 370, 999], [585, 913, 831, 978], [830, 28, 1009, 842], [831, 886, 1008, 1001]]"
./resized_binary/generator/GM004-241MC005-E01-10001-001_Z01_20190122(0).png,data/generator_masked/binary/masks_generator/table/GM004-241MC005-E01-10001-001_Z01_20190122(0).png,1024,1024,1,1,"[[759, 489, 1008, 871], [142, 865, 486, 991], [758, 871, 1010, 1005]]"
./resized_binary/generator/GM004-241MC005-E01-10001-002_Z01_20190122(0).png,data/generator_masked/binary/masks_generator/table/GM004-241MC005-E01-10001-002_Z01_20190122(0).png,1024,1024,1,1,"[[759, 486, 1005, 875], [142, 868, 487, 996], [758, 869, 1009, 1008]]"
./resized_binary/generator/GM004-241MC005-E01-10001-003_Z01_20190122(0).png,data/generator_masked/binary/masks_generator/table/GM004-241MC005-E01-10001-003_Z01_20190122(0).png,1024,1024,1,1,"[[755, 486, 1009, 871], [141, 866, 484, 988], [759, 868, 1006, 1003]]"
./resized_binary/generator/GM004-241MC005-E01-10001-004_Z01_20190122(0).png,data/generator_masked/binary/masks_generator/table/GM004-241MC005-E01-10001-004_Z01_20190122(0).png,1024,1024,1,1,"[[759, 491, 1005, 874], [147, 868, 480, 997], [757, 866, 1006, 1003]]"
./resized_binary/generator/GM004-241MC005-E01-10001-005_Z01_20190122(0).png,data/generator_masked/binary/masks_generator/table/GM004-241MC005-E01-10001-005_Z01_20190122(0).png,1024,1024,1,1,"[[759, 487, 1007, 871], [22, 18, 330, 648], [145, 866, 483, 991], [759, 866, 1009, 1003], [21, 636, 109, 740]]"
./resized_binary/generator/GM004-241MC005-E01-10001-006_Z01_20190122(0).png,data/generator_masked/binary/masks_generator/table/GM004-241MC005-E01-10001-006_Z01_20190122(0).png,1024,1024,1,1,"[[757, 490, 1007, 868], [142, 867, 485, 992], [755, 866, 1011, 1006]]"
./resized_binary/generator/GM004-241MC005-E01-20001-001_Z01_20190124(0).png,data/generator_masked/binary/masks_generator/table/GM004-241MC005-E01-20001-001_Z01_20190124(0).png,1024,1024,1,1,"[[758, 486, 1006, 868], [146, 866, 484, 991], [757, 862, 1011, 1005]]"
./resized_binary/generator/GM004-241MC005-E01-20001-002_Z01_20190124(0).png,data/generator_masked/binary/masks_generator/table/GM004-241MC005-E01-20001-002_Z01_20190124(0).png,1024,1024,1,1,"[[759, 486, 1009, 877], [145, 866, 481, 989], [757, 864, 1010, 1007]]"
./resized_binary/generator/GM004-241MC005-E01-20001-003_Z01_20190124(0).png,data/generator_masked/binary/masks_generator/table/GM004-241MC005-E01-20001-003_Z01_20190124(0).png,1024,1024,1,1,"[[758, 491, 1012, 875], [144, 866, 484, 992], [756, 863, 1009, 1008]]"
./resized_binary/generator/GM004-241MC005-E01-20001-004_Z01_20190124(0).png,data/generator_masked/binary/masks_generator/table/GM004-241MC005-E01-20001-004_Z01_20190124(0).png,1024,1024,1,1,"[[758, 486, 1012, 877], [757, 866, 1010, 1005], [145, 866, 482, 988]]"
./resized_binary/generator/GM004-241MC005-E01-20001-005_Z01_20190124(0).png,data/generator_masked/binary/masks_generator/table/GM004-241MC005-E01-20001-005_Z01_20190124(0).png,1024,1024,1,1,"[[21, 16, 331, 606], [759, 489, 1011, 876], [756, 862, 1008, 1003], [148, 869, 481, 990], [21, 597, 106, 697]]"
./resized_binary/generator/GM004-241MC005-E01-20001-006_Z01_20190124(0).png,data/generator_masked/binary/masks_generator/table/GM004-241MC005-E01-20001-006_Z01_20190124(0).png,1024,1024,1,1,"[[755, 483, 1012, 875], [146, 866, 484, 990], [756, 862, 1010, 1005]]"
./resized_binary/generator/GM004-241MC005-E01-30001-001_Z01_20190125(0).png,data/generator_masked/binary/masks_generator/table/GM004-241MC005-E01-30001-001_Z01_20190125(0).png,1024,1024,1,1,"[[756, 487, 1011, 875], [148, 865, 481, 983], [757, 867, 1010, 1006]]"
./resized_binary/generator/GM004-241MC005-E01-30001-002_Z01_20190125(0).png,data/generator_masked/binary/masks_generator/table/GM004-241MC005-E01-30001-002_Z01_20190125(0).png,1024,1024,1,1,"[[759, 492, 1005, 872], [145, 868, 481, 986], [759, 864, 1009, 1008]]"
./resized_binary/generator/GM004-241MC005-E01-30001-003_Z01_20190125(0).png,data/generator_masked/binary/masks_generator/table/GM004-241MC005-E01-30001-003_Z01_20190125(0).png,1024,1024,1,1,"[[758, 490, 1007, 869], [757, 866, 1010, 1008], [143, 864, 484, 987]]"
./resized_binary/generator/GM004-241MC005-E01-30001-004_Z01_20190125(0).png,data/generator_masked/binary/masks_generator/table/GM004-241MC005-E01-30001-004_Z01_20190125(0).png,1024,1024,1,1,"[[759, 487, 1007, 869], [755, 863, 1011, 1006], [142, 866, 485, 991]]"
./resized_binary/generator/GM004-241MC005-E01-30001-005_Z01_20190125(0).png,data/generator_masked/binary/masks_generator/table/GM004-241MC005-E01-30001-005_Z01_20190125(0).png,1024,1024,1,1,"[[754, 486, 1012, 872], [752, 862, 1011, 1009], [145, 862, 485, 988], [18, 16, 333, 629], [16, 615, 110, 730]]"
./resized_binary/generator/GM004-241MC005-E01-30001-006_Z01_20190125(0).png,data/generator_masked/binary/masks_generator/table/GM004-241MC005-E01-30001-006_Z01_20190125(0).png,1024,1024,1,1,"[[757, 482, 1011, 879], [143, 863, 484, 992], [756, 863, 1010, 1004]]"
./resized_binary/generator/GM004-241MC005-E01-40001-001_Z01_20190128(0).png,data/generator_masked/binary/masks_generator/table/GM004-241MC005-E01-40001-001_Z01_20190128(0).png,1024,1024,1,1,"[[756, 483, 1009, 875], [757, 943, 1010, 1007], [145, 864, 486, 988]]"
./resized_binary/generator/GM004-241MC005-E01-40001-002_Z01_20190128(0).png,data/generator_masked/binary/masks_generator/table/GM004-241MC005-E01-40001-002_Z01_20190128(0).png,1024,1024,1,1,"[[756, 490, 1008, 877], [756, 862, 1011, 1008], [143, 868, 484, 993]]"
./resized_binary/generator/GM004-241MC005-E01-40001-003_Z01_20190128(0).png,data/generator_masked/binary/masks_generator/table/GM004-241MC005-E01-40001-003_Z01_20190128(0).png,1024,1024,1,1,"[[754, 482, 1012, 877], [757, 864, 1009, 1003], [146, 864, 483, 990]]"
./resized_binary/generator/GM004-241MC005-E01-40001-004_Z01_20190128(0).png,data/generator_masked/binary/masks_generator/table/GM004-241MC005-E01-40001-004_Z01_20190128(0).png,1024,1024,1,1,"[[755, 483, 1012, 876], [757, 862, 1011, 1008], [142, 860, 485, 993]]"
./resized_binary/generator/GM004-241MC005-E01-40001-005_Z01_20190128(0).png,data/generator_masked/binary/masks_generator/table/GM004-241MC005-E01-40001-005_Z01_20190128(0).png,1024,1024,1,1,"[[757, 483, 1011, 877], [20, 39, 332, 632], [145, 866, 485, 990], [757, 863, 1003, 1011], [18, 619, 109, 726]]"
./resized_binary/generator/GM004-241MC005-E01-40001-006_Z01_20190128(0).png,data/generator_masked/binary/masks_generator/table/GM004-241MC005-E01-40001-006_Z01_20190128(0).png,1024,1024,1,1,"[[756, 483, 1011, 875], [757, 864, 1008, 1005], [146, 866, 484, 985]]"
./resized_binary/generator/GM004-241MC005-E01-50001-001_Z01_20190129(0).png,data/generator_masked/binary/masks_generator/table/GM004-241MC005-E01-50001-001_Z01_20190129(0).png,1024,1024,1,1,"[[755, 483, 1010, 876], [145, 864, 485, 991], [757, 863, 1012, 1008]]"
./resized_binary/generator/GM004-241MC005-E01-50001-002_Z01_20190129(0).png,data/generator_masked/binary/masks_generator/table/GM004-241MC005-E01-50001-002_Z01_20190129(0).png,1024,1024,1,1,"[[757, 479, 1012, 879], [144, 866, 484, 988], [755, 860, 1009, 1012]]"
./resized_binary/generator/GM004-241MC005-E01-50001-003_Z01_20190129(0).png,data/generator_masked/binary/masks_generator/table/GM004-241MC005-E01-50001-003_Z01_20190129(0).png,1024,1024,1,1,"[[754, 482, 1012, 879], [756, 864, 1009, 1005], [147, 868, 484, 986]]"
./resized_binary/generator/GM004-241MC005-E01-50001-004_Z01_20190129(0).png,data/generator_masked/binary/masks_generator/table/GM004-241MC005-E01-50001-004_Z01_20190129(0).png,1024,1024,1,1,"[[758, 488, 1011, 875], [757, 867, 1012, 1006], [143, 868, 484, 993]]"
./resized_binary/generator/GM004-241MC005-E01-50001-005_Z01_20190129(0).png,data/generator_masked/binary/masks_generator/table/GM004-241MC005-E01-50001-005_Z01_20190129(0).png,1024,1024,1,1,"[[20, 16, 369, 597], [17, 586, 117, 708], [142, 859, 484, 993], [754, 483, 1011, 883], [754, 863, 1010, 1007]]"
./resized_binary/generator/GM004-241MC005-E01-50001-006_Z01_20190129(0).png,data/generator_masked/binary/masks_generator/table/GM004-241MC005-E01-50001-006_Z01_20190129(0).png,1024,1024,1,1,"[[754, 483, 1011, 877], [758, 864, 1012, 1007], [144, 867, 484, 988]]"
./resized_binary/generator/GM004-241MU009-B01-10000-001_Z02_20210308(1).png,data/generator_masked/binary/masks_generator/table/GM004-241MU009-B01-10000-001_Z02_20210308(1).png,1024,1024,1,1,"[[583, 17, 945, 288], [930, 14, 1011, 375], [936, 573, 1015, 1018], [7, 665, 460, 838], [9, 828, 463, 1020]]"
./resized_binary/generator/GM004-241MU009-B01-10000-002_Z02_20210308(1).png,data/generator_masked/binary/masks_generator/table/GM004-241MU009-B01-10000-002_Z02_20210308(1).png,1024,1024,1,1,"[[932, 19, 1008, 371], [928, 571, 1008, 1018]]"
./resized_binary/generator/GM004-241MU009-B01-10000-003_Z02_20210308(1).png,data/generator_masked/binary/masks_generator/table/GM004-241MU009-B01-10000-003_Z02_20210308(1).png,1024,1024,1,1,"[[931, 16, 1010, 371], [933, 570, 1008, 1016]]"
./resized_binary/generator/GM004-241MU009-B01-10000-004_Z02_20210308(1).png,data/generator_masked/binary/masks_generator/table/GM004-241MU009-B01-10000-004_Z02_20210308(1).png,1024,1024,1,1,"[[938, 13, 1012, 373], [592, 17, 940, 352], [12, 20, 597, 910], [933, 572, 1009, 1016]]"
./resized_binary/generator/GM004-241MU009-B01-20000-001_Z02_20210308(1).png,data/generator_masked/binary/masks_generator/table/GM004-241MU009-B01-20000-001_Z02_20210308(1).png,1024,1024,1,1,"[[935, 16, 1010, 372], [600, 19, 928, 278], [930, 571, 1008, 1018], [12, 687, 456, 860], [9, 850, 459, 1018]]"
./resized_binary/generator/GM004-241MU009-B01-20000-002_Z02_20210308(1).png,data/generator_masked/binary/masks_generator/table/GM004-241MU009-B01-20000-002_Z02_20210308(1).png,1024,1024,1,1,"[[933, 20, 1008, 376], [931, 571, 1008, 1015]]"
./resized_binary/generator/GM004-241MU009-B01-20000-003_Z02_20210308(1).png,data/generator_masked/binary/masks_generator/table/GM004-241MU009-B01-20000-003_Z02_20210308(1).png,1024,1024,1,1,"[[935, 16, 1010, 371], [934, 571, 1008, 1016]]"
./resized_binary/generator/GM004-241MU009-B01-20000-004_Z02_20210308(1).png,data/generator_masked/binary/masks_generator/table/GM004-241MU009-B01-20000-004_Z02_20210308(1).png,1024,1024,1,1,"[[929, 16, 1007, 372], [933, 564, 1011, 1013], [591, 18, 939, 294], [10, 18, 600, 916]]"
./resized_binary/generator/GM004-241MU009-B01-30000-001_Z02_20210308(1).png,data/generator_masked/binary/masks_generator/table/GM004-241MU009-B01-30000-001_Z02_20210308(1).png,1024,1024,1,1,"[[582, 14, 943, 225], [939, 13, 1011, 376], [933, 570, 1010, 1017], [10, 720, 456, 917], [9, 907, 455, 1015]]"
./resized_binary/generator/GM004-241MU009-B01-30000-002_Z02_20210308(1).png,data/generator_masked/binary/masks_generator/table/GM004-241MU009-B01-30000-002_Z02_20210308(1).png,1024,1024,1,1,"[[936, 18, 1010, 371], [935, 573, 1010, 1018]]"
./resized_binary/generator/GM004-241MU009-B01-30000-003_Z02_20210308(1).png,data/generator_masked/binary/masks_generator/table/GM004-241MU009-B01-30000-003_Z02_20210308(1).png,1024,1024,1,1,"[[937, 17, 1010, 373], [933, 569, 1009, 1016]]"
./resized_binary/generator/GM004-241MU009-B01-30000-004_Z02_20210308(1).png,data/generator_masked/binary/masks_generator/table/GM004-241MU009-B01-30000-004_Z02_20210308(1).png,1024,1024,1,1,"[[935, 17, 1008, 373], [932, 571, 1008, 1018], [591, 20, 939, 258], [7, 17, 599, 811]]"
./resized_binary/generator/GM004-241MU009-B01-40000-001_Z02_20210308(1).png,data/generator_masked/binary/masks_generator/table/GM004-241MU009-B01-40000-001_Z02_20210308(1).png,1024,1024,1,1,"[[616, 18, 941, 337], [936, 14, 1012, 375], [936, 572, 1008, 1016], [9, 689, 476, 904], [11, 887, 476, 1020]]"
./resized_binary/generator/GM004-241MU009-B01-40000-002_Z02_20210308(1).png,data/generator_masked/binary/masks_generator/table/GM004-241MU009-B01-40000-002_Z02_20210308(1).png,1024,1024,1,1,"[[938, 14, 1011, 371], [934, 568, 1012, 1020]]"
./resized_binary/generator/GM004-241MU009-B01-40000-003_Z02_20210308(1).png,data/generator_masked/binary/masks_generator/table/GM004-241MU009-B01-40000-003_Z02_20210308(1).png,1024,1024,1,1,"[[932, 16, 1007, 372], [933, 572, 1009, 1016]]"
./resized_binary/generator/GM004-241MU009-B01-40000-004_Z02_20210308(1).png,data/generator_masked/binary/masks_generator/table/GM004-241MU009-B01-40000-004_Z02_20210308(1).png,1024,1024,1,1,"[[936, 14, 1008, 376], [9, 19, 612, 963], [605, 16, 942, 373], [932, 571, 1009, 1020]]"
./resized_binary/generator/GM004-241MU009-C05-10000_Z01_20210203(2).png,data/generator_masked/binary/masks_generator/table/GM004-241MU009-C05-10000_Z01_20210203(2).png,1024,1024,1,1,"[[934, 17, 1011, 377], [935, 566, 1009, 1016]]"
./resized_binary/generator/GM004-241MU009-C05-20000_Z01_20210203(2).png,data/generator_masked/binary/masks_generator/table/GM004-241MU009-C05-20000_Z01_20210203(2).png,1024,1024,1,1,"[[936, 18, 1008, 376], [934, 569, 1006, 1016]]"
./resized_binary/generator/GM004-241MU009-C05-30000_Z01_20210203(2).png,data/generator_masked/binary/masks_generator/table/GM004-241MU009-C05-30000_Z01_20210203(2).png,1024,1024,1,1,"[[934, 17, 1011, 377], [934, 569, 1008, 1018]]"
./resized_binary/generator/GM004-241MU009-C05-40000_Z01_20210203(2).png,data/generator_masked/binary/masks_generator/table/GM004-241MU009-C05-40000_Z01_20210203(2).png,1024,1024,1,1,"[[13, 867, 216, 1017], [461, 872, 718, 1017], [709, 872, 917, 1016], [913, 875, 1008, 1013]]"
./resized_binary/generator/GM004-241MU009-C18-10000_Z01_20200312(11).png,data/generator_masked/binary/masks_generator/table/GM004-241MU009-C18-10000_Z01_20200312(11).png,1024,1024,1,1,"[[45, 564, 450, 673], [45, 710, 451, 819], [493, 534, 778, 915]]"
./resized_binary/generator/GM004-241MU009-C18-10000_Z01_20200312(12).png,data/generator_masked/binary/masks_generator/table/GM004-241MU009-C18-10000_Z01_20200312(12).png,1024,1024,1,1,"[[96, 126, 406, 520]]"
./resized_binary/generator/GM004-241MU009-C18-10000_Z01_20200312(14).png,data/generator_masked/binary/masks_generator/table/GM004-241MU009-C18-10000_Z01_20200312(14).png,1024,1024,1,1,"[[92, 697, 978, 902]]"
./resized_binary/generator/GM004-241MU009-C18-10000_Z01_20200312(15).png,data/generator_masked/binary/masks_generator/table/GM004-241MU009-C18-10000_Z01_20200312(15).png,1024,1024,1,1,"[[40, 368, 325, 441], [42, 843, 479, 907]]"
./resized_binary/generator/GM004-241MU009-C18-10000_Z01_20200312(16).png,data/generator_masked/binary/masks_generator/table/GM004-241MU009-C18-10000_Z01_20200312(16).png,1024,1024,1,1,"[[90, 124, 475, 496]]"
./resized_binary/generator/GM004-241MU009-C18-10000_Z01_20200312(18).png,data/generator_masked/binary/masks_generator/table/GM004-241MU009-C18-10000_Z01_20200312(18).png,1024,1024,1,1,"[[88, 419, 976, 660], [97, 893, 379, 967]]"
./resized_binary/generator/GM004-241MU009-C18-10000_Z01_20200312(19).png,data/generator_masked/binary/masks_generator/table/GM004-241MU009-C18-10000_Z01_20200312(19).png,1024,1024,1,1,"[[84, 196, 361, 286], [87, 294, 363, 543], [81, 548, 361, 728], [81, 732, 363, 909]]"
./resized_binary/generator/GM004-241MU009-C18-10000_Z01_20200312(20).png,data/generator_masked/binary/masks_generator/table/GM004-241MU009-C18-10000_Z01_20200312(20).png,1024,1024,1,1,"[[83, 96, 500, 211], [84, 264, 499, 356], [82, 388, 500, 516], [81, 551, 499, 748], [80, 793, 503, 929]]"
./resized_binary/generator/GM004-241MU009-C18-10000_Z01_20200312(21).png,data/generator_masked/binary/masks_generator/table/GM004-241MU009-C18-10000_Z01_20200312(21).png,1024,1024,1,1,"[[82, 97, 501, 220], [84, 295, 498, 408]]"
./resized_binary/generator/GM004-241MU009-C18-10000_Z01_20200312(4).png,data/generator_masked/binary/masks_generator/table/GM004-241MU009-C18-10000_Z01_20200312(4).png,1024,1024,1,1,"[[93, 62, 975, 555], [93, 728, 676, 909]]"
./resized_binary/generator/GM004-241MU009-C18-10000_Z01_20200312(6).png,data/generator_masked/binary/masks_generator/table/GM004-241MU009-C18-10000_Z01_20200312(6).png,1024,1024,1,1,"[[92, 166, 825, 364], [96, 456, 528, 573], [94, 674, 976, 861]]"
./resized_binary/generator/GM004-241MU009-C18-10000_Z01_20200312(7).png,data/generator_masked/binary/masks_generator/table/GM004-241MU009-C18-10000_Z01_20200312(7).png,1024,1024,1,1,"[[46, 87, 856, 274], [40, 358, 927, 499], [42, 578, 775, 777]]"
./resized_binary/generator/GM004-241MU009-C18-10000_Z01_20200312(8).png,data/generator_masked/binary/masks_generator/table/GM004-241MU009-C18-10000_Z01_20200312(8).png,1024,1024,1,1,"[[90, 286, 980, 699]]"
./resized_binary/generator/GM004-241MU009-C18-20000_Z01_20200312(11).png,data/generator_masked/binary/masks_generator/table/GM004-241MU009-C18-20000_Z01_20200312(11).png,1024,1024,1,1,"[[46, 564, 445, 673], [43, 709, 451, 815], [481, 539, 777, 913]]"
./resized_binary/generator/GM004-241MU009-C18-20000_Z01_20200312(12).png,data/generator_masked/binary/masks_generator/table/GM004-241MU009-C18-20000_Z01_20200312(12).png,1024,1024,1,1,"[[88, 125, 409, 520]]"
./resized_binary/generator/GM004-241MU009-C18-20000_Z01_20200312(14).png,data/generator_masked/binary/masks_generator/table/GM004-241MU009-C18-20000_Z01_20200312(14).png,1024,1024,1,1,"[[93, 692, 981, 908]]"
./resized_binary/generator/GM004-241MU009-C18-20000_Z01_20200312(15).png,data/generator_masked/binary/masks_generator/table/GM004-241MU009-C18-20000_Z01_20200312(15).png,1024,1024,1,1,"[[45, 366, 327, 443], [40, 839, 475, 911]]"
./resized_binary/generator/GM004-241MU009-C18-20000_Z01_20200312(16).png,data/generator_masked/binary/masks_generator/table/GM004-241MU009-C18-20000_Z01_20200312(16).png,1024,1024,1,1,"[[90, 125, 483, 497]]"
